species,motif,cons_frac,bg_frac,OR,p,q
spruce,DRE_CRT(CBF),0.27998737373737376,0.2414008267685828,1.2220020836594216,4.337017304778937e-11,2.602210382867362e-10
spruce,ABRE,0.1463594276094276,0.12931908587473676,1.1543620813191,0.00013705465473176715,0.0004111639641953015
spruce,EE(circadian),0.09553872053872053,0.08876062709617034,1.0844300819198205,0.04359609710180103,0.04559997174524508
spruce,CBS(CCA1),0.0906986531986532,0.0841588019655253,1.0854595281058366,0.04559997174524508,0.04559997174524508
spruce,G-box,0.16877104377104377,0.15817798923640902,1.0805664993883104,0.017860098785146234,0.026790148177719353
spruce,LTRE,0.24852693602693604,0.23609702831292412,1.0700590050323713,0.016636660183758725,0.026790148177719353
pine,DRE_CRT(CBF),0.28118199518955445,0.22913131998642688,1.3160261088768908,1.3363757649708401e-17,8.018254589825041e-17
pine,ABRE,0.13858664528690873,0.11732270105191721,1.2104021489888568,3.426722011996891e-06,1.0280166035990673e-05
pine,EE(circadian),0.11373267666933913,0.10917882592466915,1.0470625695490001,0.15774900213439536,0.15774900213439536
pine,CBS(CCA1),0.09758332378879854,0.09017645062775705,1.0910195445530393,0.03777615940594514,0.04533139128713417
pine,G-box,0.16481502691558814,0.14362063115032236,1.1766938920189909,1.702779497371803e-05,3.0086976080719346e-05
pine,LTRE,0.2756843431451151,0.2500848320325755,1.1413241709341855,2.0057984053812897e-05,3.0086976080719346e-05
