"gene_id"
"AT1G14520"
"AT1G22770"
"AT1G26590"
"AT1G28610"
"AT1G31320"
"AT1G61740"
"AT1G64170"
"AT1G67110"
"AT1G69830"
"AT1G80470"
"AT2G01200"
"AT2G07719"
"AT2G19210"
"AT2G28120"
"AT2G28720"
"AT2G34140"
"AT2G40330"
"AT3G08700"
"AT3G20810"
"AT3G28875"
"AT3G53590"
"AT3G54780"
"AT3G61400"
"AT4G18250"
"AT4G26130"
"AT4G27890"
"AT4G28140"
"AT4G30662"
"AT4G39980"
"AT5G50130"
"AT5G52330"
"AT5G57630"
"AT5G60100"
"AT5G60760"
"AT5G64750"
"ATMG00580"
